team_abbreviation,year_id,pts,opp_pts,game_result,game_location
SAC,2015,98,92,W,Away
LAC,2015,92,98,L,Home
TOR,2015,102,107,L,Away
MIA,2015,107,102,W,Home
CHO,2015,93,96,L,Away
NYK,2015,96,93,W,Home
GSW,2015,95,90,W,Away
POR,2015,90,95,L,Home
BRK,2015,116,85,W,Home
OKC,2015,85,116,L,Away
DAL,2015,118,113,W,Home
BOS,2015,113,118,L,Away
SAC,2015,110,105,W,Away
DEN,2015,105,110,L,Home
LAC,2015,107,101,W,Home
UTA,2015,101,107,L,Away
NOP,2015,81,93,L,Away
MEM,2015,93,81,W,Home
PHI,2015,93,104,L,Home
ORL,2015,90,98,L,Away
CHI,2015,98,90,W,Home
MIL,2015,87,81,W,Away
IND,2015,81,87,L,Home
LAL,2015,106,112,L,Home
PHO,2015,112,106,W,Away
HOU,2015,108,91,W,Away
MIA,2015,91,108,L,Home
NOP,2015,100,91,W,Home
CHO,2015,91,100,L,Away
NYK,2015,83,98,L,Home
WAS,2015,98,83,W,Away
POR,2015,101,82,W,Home
CLE,2015,82,101,L,Away
TOR,2015,100,88,W,Home
OKC,2015,88,100,L,Away
BOS,2015,107,110,L,Home
TOR,2015,110,107,W,Away
BRK,2015,91,98,L,Home
MIN,2015,98,91,W,Away
CHO,2015,96,89,W,Home
MIA,2015,89,96,L,Away
DET,2015,98,95,W,Home
NYK,2015,95,98,L,Away
GSW,2015,121,104,W,Home
LAC,2015,104,121,L,Away
MIL,2015,86,95,L,Home
CHI,2015,95,86,W,Away
ORL,2015,91,89,W,Away
PHI,2015,89,91,L,Home
MEM,2015,102,91,W,Away
PHO,2015,91,102,L,Home
SAC,2015,131,109,W,Home
DEN,2015,109,131,L,Away
ATL,2015,92,94,L,Away
SAS,2015,94,92,W,Home
CLE,2015,100,102,L,Away
UTA,2015,102,100,W,Home
WAS,2015,96,94,W,Home
IND,2015,94,96,L,Away
HOU,2015,98,81,W,Home
SAS,2015,81,98,L,Away
POR,2015,108,87,W,Home
DAL,2015,87,108,L,Away
IND,2015,98,101,L,Away
BOS,2015,101,98,W,Home
BRK,2015,110,99,W,Home
NYK,2015,99,110,L,Away
ATL,2015,119,122,L,Away
CHO,2015,122,119,W,Home
DEN,2015,101,110,L,Home
CLE,2015,110,101,W,Away
MIL,2015,95,98,L,Away
OKC,2015,89,91,L,Home
MEM,2015,91,89,W,Away
MIN,2015,103,112,L,Away
ORL,2015,112,103,W,Home
PHI,2015,115,118,L,Home
CHI,2015,118,115,W,Away
PHO,2015,112,114,L,Home
SAC,2015,114,112,W,Away
TOR,2015,103,84,W,Home
WAS,2015,84,103,L,Away
DAL,2015,105,82,W,Away
UTA,2015,82,105,L,Home
NYK,2015,96,103,L,Away
ATL,2015,103,96,W,Home
BOS,2015,106,101,W,Away
CHI,2015,101,106,L,Home
GSW,2015,98,87,W,Away
HOU,2015,87,98,L,Home
WAS,2015,97,90,W,Away
IND,2015,90,97,L,Home
LAC,2015,106,102,W,Home
POR,2015,102,106,L,Away
MIN,2015,92,102,L,Away
MIA,2015,102,92,W,Home
MEM,2015,92,93,L,Away
MIL,2015,93,92,W,Home
NOP,2015,100,99,W,Away
SAS,2015,99,100,L,Home
BRK,2015,104,96,W,Home
ORL,2015,96,104,L,Away
DAL,2015,96,105,L,Home
MIA,2015,105,96,W,Away
DET,2015,96,97,L,Home
UTA,2015,97,96,W,Away
LAL,2015,107,92,W,Home
CHO,2015,92,107,L,Away
OKC,2015,101,93,W,Home
SAC,2015,93,101,L,Away
GSW,2015,95,107,L,Away
PHO,2015,107,95,W,Home
DEN,2015,100,116,L,Away
POR,2015,116,100,W,Home
PHI,2015,88,120,L,Away
TOR,2015,120,88,W,Home
DET,2015,91,102,L,Away
CHI,2015,102,91,W,Home
NOP,2015,111,118,L,Away
CLE,2015,118,111,W,Home
IND,2015,97,86,W,Home
UTA,2015,86,97,L,Away
LAC,2015,85,89,L,Home
SAS,2015,89,85,W,Away
NYK,2015,85,91,L,Home
ATL,2015,91,85,W,Away
SAC,2015,98,106,L,Away
