team_abbreviation,year_id,pts,opp_pts,game_result,game_location
SAC,2015,106,115,L,Home
IND,2015,110,85,W,Away
BRK,2015,85,110,L,Home
CHI,2015,107,100,W,Home
NOP,2015,100,107,L,Away
CHO,2015,94,102,L,Home
ORL,2015,102,94,W,Away
MIN,2015,97,110,L,Away
GSW,2015,110,97,W,Home
TOR,2015,110,98,W,Away
LAC,2015,98,110,L,Home
MIA,2015,95,103,L,Home
MEM,2015,103,95,W,Away
MIL,2015,85,90,L,Home
ATL,2015,90,85,W,Away
SAC,2015,135,129,W,Home
NYK,2015,129,135,L,Away
PHI,2015,71,88,L,Away
UTA,2015,88,71,W,Home
WAS,2015,101,88,W,Home
BOS,2015,88,101,L,Away
DET,2015,103,80,W,Away
CLE,2015,80,103,L,Home
OKC,2015,107,112,L,Away
TOR,2015,116,102,W,Away
DEN,2015,102,116,L,Home
PHO,2015,116,107,W,Away
LAL,2015,107,116,L,Home
NYK,2015,79,101,L,Away
POR,2015,101,79,W,Home
HOU,2015,106,110,L,Away
SAS,2015,110,106,W,Home
BRK,2015,107,99,W,Home
SAC,2015,99,107,L,Away
MIL,2015,104,94,W,Away
CHO,2015,94,104,L,Home
HOU,2015,103,104,L,Home
WAS,2015,104,103,W,Away
CHI,2015,92,90,W,Away
IND,2015,90,92,L,Home
LAC,2015,101,97,W,Home
UTA,2015,97,101,L,Away
ORL,2015,102,101,W,Away
MIA,2015,101,102,L,Home
CLE,2015,101,109,L,Away
ATL,2015,109,101,W,Home
BRK,2015,96,82,W,Away
CHI,2015,82,96,L,Home
WAS,2015,87,114,L,Away
DAL,2015,114,87,W,Home
DEN,2015,103,111,L,Home
LAL,2015,111,103,W,Away
GSW,2015,126,86,W,Home
PHI,2015,86,126,L,Away
SAS,2015,87,95,L,Away
MEM,2015,95,87,W,Home
PHO,2015,106,110,L,Away
NOP,2015,110,106,W,Home
ORL,2015,86,109,L,Home
DET,2015,109,86,W,Away
POR,2015,102,97,W,Home
TOR,2015,97,102,L,Away
UTA,2015,100,94,W,Home
SAC,2015,84,106,L,Away
BOS,2015,106,84,W,Home
MIL,2015,96,80,W,Away
CLE,2015,80,96,L,Home
CHO,2015,83,102,L,Away
HOU,2015,102,83,W,Home
IND,2015,106,95,W,Home
MIA,2015,95,106,L,Away
LAC,2015,99,78,W,Home
NYK,2015,78,99,L,Away
PHO,2015,134,137,L,Away
OKC,2015,137,134,W,Home
NOP,2015,93,95,L,Away
SAS,2015,95,93,W,Home
CHI,2015,106,101,W,Home
DEN,2015,101,106,L,Away
SAC,2015,110,107,W,Away
MIN,2015,107,110,L,Home
BOS,2015,101,119,L,Home
DAL,2015,119,101,W,Away
CLE,2015,91,87,W,Away
CHO,2015,87,91,L,Home
TOR,2015,105,126,L,Away
GSW,2015,126,105,W,Home
LAL,2015,106,109,L,Home
MEM,2015,109,106,W,Away
IND,2015,94,91,W,Away
MIL,2015,91,94,L,Home
HOU,2015,83,111,L,Away
NOP,2015,111,83,W,Home
DET,2015,97,81,W,Away
NYK,2015,81,97,L,Home
WAS,2015,102,109,L,Away
OKC,2015,109,102,W,Home
ORL,2015,98,100,L,Home
BRK,2015,100,98,W,Away
PHI,2015,96,112,L,Away
PHO,2015,112,96,W,Home
ATL,2015,98,92,W,Away
UTA,2015,92,98,L,Home
CHI,2015,109,104,W,Home
BOS,2015,104,109,L,Away
MEM,2015,85,114,L,Away
DEN,2015,114,85,W,Home
HOU,2015,115,79,W,Home
MIA,2015,79,115,L,Away
LAC,2015,127,91,W,Home
PHI,2015,91,127,L,Away
MIN,2015,89,101,L,Home
UTA,2015,101,89,W,Away
CHO,2015,98,90,W,Away
POR,2015,107,115,L,Home
ATL,2015,115,107,W,Away
WAS,2015,92,101,L,Away
SAS,2015,101,92,W,Home
CLE,2015,90,109,L,Home
DAL,2015,109,90,W,Away
SAC,2015,95,114,L,Away
DET,2015,114,95,W,Home
IND,2015,87,88,L,Away
LAL,2015,88,87,W,Home
BRK,2015,84,88,L,Away
MIA,2015,88,84,W,Home
NYK,2015,82,95,L,Home
MIL,2015,95,82,W,Away
TOR,2015,109,125,L,Away
PHO,2015,125,109,W,Home
CHO,2015,104,95,W,Away
BOS,2015,95,104,L,Home
DAL,2015,96,88,W,Away
BRK,2015,88,96,L,Home
CHI,2015,114,105,W,Home
HOU,2015,105,114,L,Away
GSW,2015,117,91,W,Home
OKC,2015,91,117,L,Away
LAC,2015,98,107,L,Home
ATL,2015,107,98,W,Away
NYK,2015,83,105,L,Away
MEM,2015,105,83,W,Home
DEN,2015,110,101,W,Away
MIN,2015,101,110,L,Home
WAS,2015,92,85,W,Away
NOP,2015,85,92,L,Home
PHI,2015,95,92,W,Home
CLE,2015,92,95,L,Away
POR,2015,98,94,W,Home
LAL,2015,94,98,L,Away
UTA,2015,101,105,L,Home
IND,2015,105,101,W,Away
PHO,2015,102,96,W,Away
MIL,2015,96,102,L,Home
SAS,2015,104,105,L,Home
DET,2015,105,104,W,Away
ATL,2015,96,86,W,Home
MEM,2015,86,96,L,Away
BRK,2015,81,89,L,Home
BOS,2015,89,81,W,Away
UTA,2015,97,77,W,Away
CHI,2015,77,97,L,Home
CHO,2015,98,94,W,Home
NOP,2015,94,98,L,Away
HOU,2015,105,93,W,Away
CLE,2015,93,105,L,Home
DET,2015,108,95,W,Away
DAL,2015,95,108,L,Home
DEN,2015,93,90,W,Home
ORL,2015,90,93,L,Away
GSW,2015,117,102,W,Home
IND,2015,102,117,L,Away
LAL,2015,89,114,L,Away
LAC,2015,114,89,W,Home
MIN,2015,111,113,L,Home
PHO,2015,113,111,W,Away
PHI,2015,77,97,L,Home
MIL,2015,97,77,W,Away
OKC,2015,83,104,L,Away
SAC,2015,104,83,W,Home
NYK,2015,91,101,L,Away
WAS,2015,101,91,W,Home
HOU,2015,120,96,W,Away
NYK,2015,96,120,L,Home
MIA,2015,83,99,L,Away
POR,2015,99,83,W,Home
TOR,2015,95,103,L,Home
PHI,2015,90,88,W,Away
BRK,2015,88,90,L,Home
ATL,2015,106,103,W,Away
DET,2015,103,106,L,Home
CLE,2015,94,112,L,Away
GSW,2015,112,94,W,Home
IND,2015,107,103,W,Home
BOS,2015,103,107,L,Away
LAL,2015,101,84,W,Home
MIL,2015,98,84,W,Home
MIN,2015,84,98,L,Away
NOP,2015,106,95,W,Home
MEM,2015,95,106,L,Away
OKC,2015,99,94,W,Home
UTA,2015,94,99,L,Away
DEN,2015,118,108,W,Away
SAC,2015,108,118,L,Home
SAS,2015,100,95,W,Home
CHI,2015,86,102,L,Away
WAS,2015,102,86,W,Home
MIL,2015,87,95,L,Away
CHI,2015,95,87,W,Home
DET,2015,98,93,W,Home
BRK,2015,93,98,L,Away
HOU,2015,97,82,W,Home
DAL,2015,100,120,L,Away
SAS,2015,108,93,W,Away
MIN,2015,93,108,L,Home
NYK,2015,82,110,L,Home
IND,2015,92,93,L,Away
PHI,2015,93,92,W,Home
ORL,2015,92,103,L,Away
POR,2015,103,92,W,Home
BOS,2015,96,109,L,Away
TOR,2015,109,96,W,Home
ATL,2015,120,89,W,Home
WAS,2015,89,120,L,Away
MIA,2015,104,90,W,Away
LAC,2015,90,104,L,Home
LAL,2015,94,106,L,Home
POR,2015,106,94,W,Away
PHO,2015,110,122,L,Away
MEM,2015,122,110,W,Home
SAC,2015,103,84,W,Home
CLE,2015,84,103,L,Away
BOS,2015,108,100,W,Home
NOP,2015,100,108,L,Away
BRK,2015,99,113,L,Home
HOU,2015,113,99,W,Away
CHI,2015,114,121,L,Home
ORL,2015,121,114,W,Away
DET,2015,114,111,W,Away
TOR,2015,111,114,L,Home
MIN,2015,110,101,W,Away
IND,2015,101,110,L,Home
LAL,2015,75,78,L,Home
MIA,2015,78,75,W,Away
ATL,2015,105,87,W,Away
CLE,2015,100,107,L,Away
PHO,2015,107,100,W,Home
DAL,2015,108,104,W,Away
SAC,2015,104,108,L,Home
GSW,2015,116,105,W,Away
UTA,2015,105,116,L,Home
SAS,2015,93,101,L,Away
WAS,2015,101,93,W,Home
BOS,2015,91,105,L,Home
ATL,2015,105,91,W,Away
MEM,2015,103,92,W,Away
BRK,2015,92,103,L,Home
CHI,2015,99,105,L,Home
WAS,2015,105,99,W,Away
CHO,2015,93,98,L,Home
SAS,2015,98,93,W,Away
DEN,2015,114,107,W,Home
DAL,2015,107,114,L,Away
DET,2015,94,105,L,Home
NOP,2015,105,94,W,Away
GSW,2015,104,89,W,Home
MIA,2015,89,104,L,Away
HOU,2015,113,120,L,Away
ORL,2015,120,113,W,Home
LAC,2015,100,94,W,Away
POR,2015,94,100,L,Home
PHI,2015,84,100,L,Away
TOR,2015,100,84,W,Home
HOU,2015,112,101,W,Home
OKC,2015,101,112,L,Away
CLE,2015,109,102,W,Away
MIL,2015,95,79,W,Neutral
NYK,2015,79,95,L,Neutral
BOS,2015,103,119,L,Home
CHI,2015,119,103,W,Away
DAL,2015,97,89,W,Home
DEN,2015,89,97,L,Away
DET,2015,98,96,W,Away
IND,2015,96,98,L,Home
LAC,2015,121,126,L,Home
CLE,2015,126,121,W,Away
OKC,2015,127,115,W,Home
GSW,2015,115,127,L,Away
ORL,2015,96,106,L,Home
MEM,2015,106,96,W,Away
NOP,2015,81,96,L,Away
PHI,2015,96,81,W,Home
MIN,2015,99,110,L,Away
PHO,2015,110,99,W,Home
SAC,2015,83,95,L,Home
SAS,2015,110,96,W,Home
POR,2015,96,110,L,Away
TOR,2015,89,110,L,Home
ATL,2015,110,89,W,Away
LAL,2015,85,94,L,Away
UTA,2015,94,85,W,Home
WAS,2015,80,102,L,Home
BRK,2015,102,80,W,Away
BRK,2015,90,99,L,Home
WAS,2015,99,90,W,Away
CHI,2015,99,107,L,Home
ATL,2015,107,99,W,Away
CHO,2015,80,71,W,Home
IND,2015,71,80,L,Away
MIN,2015,113,105,W,Away
DEN,2015,105,113,L,Home
PHI,2015,89,107,L,Away
DET,2015,107,89,W,Home
GSW,2015,131,106,W,Away
HOU,2015,106,131,L,Home
POR,2015,98,102,L,Away
MEM,2015,102,98,W,Home
SAC,2015,108,117,L,Home
LAC,2015,117,108,W,Away
ORL,2015,99,127,L,Home
OKC,2015,127,99,W,Away
UTA,2015,69,89,L,Away
SAS,2015,89,69,W,Home
TOR,2015,93,95,L,Home
NOP,2015,95,93,W,Away
DET,2015,82,93,L,Away
ATL,2015,93,82,W,Home
MIN,2015,80,105,L,Away
CHO,2015,105,80,W,Home
CHI,2015,94,108,L,Away
CLE,2015,108,94,W,Home
DEN,2015,79,122,L,Away
GSW,2015,122,79,W,Home
IND,2015,98,110,L,Away
HOU,2015,110,98,W,Home
BOS,2015,93,102,L,Away
LAC,2015,102,93,W,Home
DAL,2015,103,95,W,Away
MEM,2015,95,103,L,Home
TOR,2015,92,89,W,Away
MIL,2015,89,92,L,Home
NYK,2015,99,92,W,Home
NOP,2015,92,99,L,Away
PHO,2015,115,100,W,Home
LAL,2015,100,115,L,Away
SAC,2015,94,98,L,Away
WAS,2015,111,76,W,Home
PHI,2015,76,111,L,Away
SAS,2015,109,99,W,Away
DEN,2015,99,109,L,Home
OKC,2015,94,86,W,Away
MIA,2015,86,94,L,Home
IND,2015,91,110,L,Away
ATL,2015,110,91,W,Home
MIA,2015,76,78,L,Away
CHO,2015,78,76,W,Home
UTA,2015,92,106,L,Away
CLE,2015,106,92,W,Home
ORL,2015,118,128,L,Away
DET,2015,128,118,W,Home
GSW,2015,126,113,W,Home
HOU,2015,113,126,L,Away
MEM,2015,92,86,W,Home
TOR,2015,86,92,L,Away
MIN,2015,75,98,L,Home
DAL,2015,98,75,W,Away
NOP,2015,96,80,W,Home
LAL,2015,80,96,L,Away
PHI,2015,91,98,L,Home
NYK,2015,98,91,W,Away
POR,2015,113,118,L,Away
PHO,2015,118,113,W,Home
BRK,2015,103,100,W,Away
SAC,2015,100,103,L,Home
OKC,2015,105,103,W,Away
WAS,2015,103,105,L,Home
SAS,2015,81,104,L,Away
CHI,2015,104,81,W,Home
BRK,2015,84,123,L,Away
LAC,2015,123,84,W,Home
MIL,2015,99,101,L,Home
UTA,2015,101,99,W,Away
BOS,2015,90,89,W,Away
POR,2015,89,90,L,Home
ATL,2015,103,93,W,Home
OKC,2015,93,103,L,Away
CLE,2015,129,90,W,Home
CHO,2015,90,129,L,Away
CHI,2015,102,98,W,Away
DAL,2015,98,102,L,Home
BOS,2015,100,99,W,Away
DEN,2015,99,100,L,Home
SAC,2015,101,126,L,Away
GSW,2015,126,101,W,Home
IND,2015,87,89,L,Away
MIA,2015,89,87,W,Home
MIN,2015,84,92,L,Home
NOP,2015,92,84,W,Away
NYK,2015,113,106,W,Home
ORL,2015,106,113,L,Away
TOR,2015,91,86,W,Away
PHI,2015,86,91,L,Home
PHO,2015,111,113,L,Home
HOU,2015,113,111,W,Away
LAL,2015,85,99,L,Away
SAS,2015,99,85,W,Home
NYK,2015,71,76,L,Away
CHO,2015,76,71,W,Home
MEM,2015,101,83,W,Home
PHI,2015,83,101,L,Away
DET,2015,86,101,L,Away
MIL,2015,101,86,W,Home
POR,2015,103,96,W,Home
WAS,2015,96,103,L,Away
UTA,2015,108,73,W,Home
BRK,2015,73,108,L,Away
ATL,2015,112,100,W,Home
MIN,2015,100,112,L,Away
CHI,2015,84,96,L,Home
MIA,2015,96,84,W,Away
OKC,2015,98,108,L,Away
CLE,2015,108,98,W,Home
DEN,2015,115,117,L,Home
WAS,2015,117,115,W,Away
GSW,2015,114,111,W,Home
BOS,2015,111,114,L,Away
HOU,2015,99,87,W,Away
LAL,2015,87,99,L,Home
NOP,2015,109,106,W,Home
DAL,2015,106,109,L,Away
IND,2015,106,99,W,Away
ORL,2015,99,106,L,Home
PHO,2015,100,120,L,Home
MIL,2015,95,101,L,Away
SAS,2015,101,95,W,Home
DET,2015,110,114,L,Away
TOR,2015,114,110,W,Home
LAC,2015,102,98,W,Home
DEN,2015,98,102,L,Away
MEM,2015,103,94,W,Home
ORL,2015,94,103,L,Away
PHI,2015,74,99,L,Away
NOP,2015,99,74,W,Home
OKC,2015,92,84,W,Home
BOS,2015,99,90,W,Away
UTA,2015,90,99,L,Home
MEM,2015,109,90,W,Away
DAL,2015,90,109,L,Home
DET,2015,95,103,L,Home
CLE,2015,103,95,W,Away
CHI,2015,113,111,W,Away
GSW,2015,111,113,L,Home
TOR,2015,104,91,W,Away
IND,2015,91,104,L,Home
WAS,2015,98,92,W,Away
LAL,2015,92,98,L,Home
MIL,2015,109,102,W,Away
MIA,2015,102,109,L,Home
ATL,2015,113,102,W,Home
BRK,2015,102,113,L,Away
POR,2015,94,99,L,Away
CLE,2015,99,94,W,Home
HOU,2015,99,94,W,Home
DAL,2015,94,99,L,Away
BOS,2015,98,110,L,Away
MIN,2015,110,98,W,Home
NOP,2015,85,93,L,Home
DEN,2015,93,85,W,Away
OKC,2015,92,100,L,Away
NYK,2015,100,92,W,Home
DET,2015,69,89,L,Away
PHI,2015,89,69,W,Home
WAS,2015,98,106,L,Away
PHO,2015,106,98,W,Home
SAS,2015,95,86,W,Home
CHO,2015,86,95,L,Away
SAC,2015,102,119,L,Away
TOR,2015,119,102,W,Home
UTA,2015,89,94,L,Home
LAC,2015,94,89,W,Away
NYK,2015,82,103,L,Away
IND,2015,103,82,W,Home
CHI,2015,118,123,L,Away
LAL,2015,123,118,W,Home
DEN,2015,69,99,L,Away
MEM,2015,99,69,W,Home
MIL,2015,115,100,W,Away
ORL,2015,100,115,L,Home
ATL,2015,105,99,W,Home
POR,2015,99,105,L,Away
BOS,2015,87,93,L,Home
HOU,2015,93,87,W,Away
TOR,2015,127,122,W,Away
BRK,2015,122,127,L,Home
CLE,2015,101,90,W,Home
SAC,2015,90,101,L,Away
MIA,2015,72,93,L,Home
DAL,2015,93,72,W,Away
NOP,2015,108,103,W,Home
LAC,2015,103,108,L,Away
PHI,2015,103,94,W,Home
MIN,2015,94,103,L,Away
PHO,2015,99,93,W,Home
CHI,2015,93,99,L,Away
GSW,2015,100,110,L,Away
UTA,2015,110,100,W,Home
PHI,2015,85,91,L,Away
DEN,2015,86,104,L,Home
HOU,2015,101,114,L,Away
DET,2015,114,101,W,Home
PHO,2015,87,106,L,Away
GSW,2015,106,87,W,Home
SAC,2015,99,94,W,Away
IND,2015,94,99,L,Home
MEM,2015,85,74,W,Home
OKC,2015,74,85,L,Away
POR,2015,88,95,L,Away
MIL,2015,95,88,W,Home
MIN,2015,90,106,L,Home
CLE,2015,106,90,W,Away
ORL,2015,93,108,L,Home
DAL,2015,108,93,W,Away
SAS,2015,85,105,L,Home
LAC,2015,105,85,W,Away
TOR,2015,120,116,W,Away
WAS,2015,116,120,L,Home
MIA,2015,83,75,W,Away
BOS,2015,75,83,L,Home
LAL,2015,80,92,L,Away
NYK,2015,92,80,W,Home
BRK,2015,102,100,W,Home
LAC,2015,100,102,L,Away
CLE,2015,97,84,W,Home
PHI,2015,84,97,L,Away
DAL,2015,100,94,W,Home
ATL,2015,100,115,L,Away
NOP,2015,115,100,W,Home
OKC,2015,104,97,W,Home
ORL,2015,97,104,L,Away
MEM,2015,102,101,W,Away
PHO,2015,101,102,L,Home
TOR,2015,75,82,L,Home
MIL,2015,82,75,W,Away
WAS,2015,88,92,L,Home
CHO,2015,92,88,W,Away
DET,2015,108,91,W,Home
BOS,2015,108,97,W,Away
NYK,2015,97,108,L,Home
DEN,2015,98,105,L,Away
PHI,2015,105,98,W,Home
POR,2015,103,102,W,Home
UTA,2015,102,103,L,Away
SAC,2015,96,121,L,Home
GSW,2015,121,96,W,Away
ATL,2015,105,96,W,Home
WAS,2015,96,105,L,Away
BOS,2015,104,100,W,Home
DEN,2015,100,104,L,Away
DAL,2015,114,128,L,Away
GSW,2015,128,114,W,Home
HOU,2015,101,90,W,Home
CHI,2015,90,101,L,Away
DET,2015,109,114,L,Away
IND,2015,114,109,W,Home
LAL,2015,105,113,L,Away
MIL,2015,113,105,W,Home
MIN,2015,102,101,W,Home
NOP,2015,91,102,L,Home
ORL,2015,103,110,L,Away
SAS,2015,110,103,W,Home
TOR,2015,93,109,L,Home
BRK,2015,109,93,W,Away
UTA,2015,90,100,L,Home
MEM,2015,100,90,W,Away
CHO,2015,94,87,W,Home
WAS,2015,87,94,L,Away
LAC,2015,94,105,L,Away
CLE,2015,105,94,W,Home
PHO,2015,87,108,L,Away
SAC,2015,78,101,L,Home
DAL,2015,101,78,W,Away
GSW,2015,116,124,L,Away
ATL,2015,124,116,W,Home
PHI,2015,96,107,L,Away
BOS,2015,107,96,W,Home
BRK,2015,92,88,W,Home
NYK,2015,88,92,L,Away
DEN,2015,88,98,L,Away
DET,2015,98,88,W,Home
MIL,2015,111,117,L,Away
IND,2015,103,99,W,Home
CLE,2015,99,103,L,Away
MEM,2015,89,90,L,Away
MIN,2015,90,89,W,Home
OKC,2015,113,116,L,Home
NOP,2015,116,113,W,Away
LAL,2015,97,103,L,Away
ORL,2015,103,97,W,Home
UTA,2015,93,100,L,Away
PHO,2015,100,93,W,Home
MIA,2015,85,98,L,Away
SAS,2015,98,85,W,Home
LAC,2015,107,123,L,Away
TOR,2015,123,107,W,Home
DAL,2015,111,101,W,Home
POR,2015,101,111,L,Away
MIL,2015,96,93,W,Home
BOS,2015,93,96,L,Away
CHI,2015,107,72,W,Away
NOP,2015,72,107,L,Home
NYK,2015,92,106,L,Home
GSW,2015,106,92,W,Away
CHO,2015,81,89,L,Away
PHI,2015,89,81,W,Home
SAC,2015,90,102,L,Away
UTA,2015,102,90,W,Home
WAS,2015,114,77,W,Home
BRK,2015,77,114,L,Away
CHO,2015,102,103,L,Home
IND,2015,103,102,W,Away
CLE,2015,120,105,W,Home
LAL,2015,105,120,L,Away
MIN,2015,112,101,W,Away
DET,2015,101,112,L,Home
POR,2015,109,98,W,Away
HOU,2015,98,109,L,Home
ATL,2015,88,94,L,Away
MEM,2015,94,88,W,Home
LAC,2015,108,131,L,Away
OKC,2015,131,108,W,Home
CHI,2015,98,97,W,Away
PHO,2015,83,85,L,Away
SAC,2015,85,83,W,Home
SAS,2015,82,87,L,Away
TOR,2015,87,82,W,Home
DAL,2015,98,115,L,Home
LAC,2015,115,98,W,Away
DEN,2015,114,124,L,Home
OKC,2015,124,114,W,Away
IND,2015,93,95,L,Home
MIA,2015,109,95,W,Home
MIL,2015,103,97,W,Home
BRK,2015,97,103,L,Away
MIN,2015,105,117,L,Home
ATL,2015,117,105,W,Away
NOP,2015,96,100,L,Home
GSW,2015,89,84,W,Away
PHI,2015,84,89,L,Home
WAS,2015,96,80,W,Home
ORL,2015,80,96,L,Away
SAC,2015,86,104,L,Away
CHI,2015,104,86,W,Home
DET,2015,106,78,W,Away
CHO,2015,78,106,L,Home
DEN,2015,106,96,W,Away
LAL,2015,96,106,L,Home
BRK,2015,86,95,L,Away
MEM,2015,95,86,W,Home
HOU,2015,127,118,W,Away
PHO,2015,118,127,L,Home
BOS,2015,89,88,W,Home
ATL,2015,88,89,L,Away
MIA,2015,93,113,L,Away
CLE,2015,113,93,W,Home
UTA,2015,82,87,L,Away
DAL,2015,87,82,W,Home
DET,2015,87,104,L,Home
SAS,2015,104,87,W,Away
HOU,2015,95,110,L,Away
LAC,2015,110,95,W,Home
SAC,2015,103,111,L,Away
MIL,2015,111,103,W,Home
GSW,2015,94,91,W,Away
MIN,2015,91,94,L,Home
NOP,2015,93,106,L,Home
IND,2015,106,93,W,Away
OKC,2015,105,89,W,Home
MEM,2015,89,105,L,Away
ORL,2015,89,83,W,Home
NYK,2015,83,89,L,Away
LAL,2015,86,102,L,Away
POR,2015,102,86,W,Home
WAS,2015,93,95,L,Away
TOR,2015,95,93,W,Home
CLE,2015,98,113,L,Away
CHI,2015,113,98,W,Home
SAS,2015,115,119,L,Away
LAC,2015,119,115,W,Home
DAL,2015,89,104,L,Away
OKC,2015,104,89,W,Home
TOR,2015,105,80,W,Away
ATL,2015,80,105,L,Home
DAL,2015,111,100,W,Home
HOU,2015,100,111,L,Away
DET,2015,100,91,W,Home
CHI,2015,91,100,L,Away
SAS,2015,99,110,L,Away
GSW,2015,110,99,W,Home
BRK,2015,114,105,W,Away
LAL,2015,105,114,L,Home
MIL,2015,89,81,W,Home
DEN,2015,81,89,L,Away
PHO,2015,109,111,L,Away
MIN,2015,111,109,W,Home
NYK,2015,87,111,L,Home
MIA,2015,111,87,W,Away
ORL,2015,95,84,W,Home
NOP,2015,84,95,L,Away
PHI,2015,95,106,L,Home
SAC,2015,109,101,W,Home
BOS,2015,101,109,L,Away
POR,2015,76,92,L,Away
UTA,2015,92,76,W,Home
CLE,2015,127,89,W,Away
WAS,2015,89,127,L,Home
CHI,2015,112,107,W,Home
PHO,2015,107,112,L,Away
CHO,2015,103,110,L,Home
OKC,2015,110,103,W,Away
TOR,2015,76,98,L,Away
HOU,2015,98,76,W,Home
SAC,2015,99,126,L,Away
LAC,2015,126,99,W,Home
NOP,2015,105,91,W,Away
MIA,2015,91,105,L,Home
DAL,2015,92,81,W,Home
CHO,2015,81,92,L,Away
DET,2015,106,89,W,Home
WAS,2015,89,106,L,Away
GSW,2015,98,104,L,Away
IND,2015,104,98,W,Home
BOS,2015,111,118,L,Away
LAL,2015,118,111,W,Home
ATL,2015,97,86,W,Away
MIL,2015,86,97,L,Home
CLE,2015,101,83,W,Away
NYK,2015,83,101,L,Home
DEN,2015,94,119,L,Away
OKC,2015,119,94,W,Home
ORL,2015,103,98,W,Home
PHI,2015,98,103,L,Away
MEM,2015,98,92,W,Away
POR,2015,92,98,L,Home
CHI,2015,87,71,W,Home
MIL,2015,71,87,L,Away
BRK,2015,110,82,W,Away
HOU,2015,113,102,W,Home
MIN,2015,102,113,L,Away
LAC,2015,87,90,L,Home
MEM,2015,90,87,W,Away
PHI,2015,108,119,L,Away
MIA,2015,119,108,W,Home
NOP,2015,100,97,W,Home
TOR,2015,97,100,L,Away
BOS,2015,115,110,W,Away
PHO,2015,110,115,L,Home
SAS,2015,81,90,L,Away
UTA,2015,90,81,W,Home
TOR,2015,92,99,L,Away
DAL,2015,99,92,W,Home
DET,2015,93,102,L,Home
CLE,2015,102,93,W,Away
IND,2015,92,105,L,Away
OKC,2015,105,92,W,Home
WAS,2015,107,114,L,Home
GSW,2015,114,107,W,Away
ATL,2015,104,87,W,Home
DAL,2015,87,104,L,Away
BOS,2015,115,94,W,Home
NYK,2015,94,115,L,Away
CHO,2015,98,86,W,Away
CHI,2015,86,98,L,Home
PHO,2015,110,96,W,Away
DEN,2015,96,110,L,Home
HOU,2015,110,105,W,Home
LAC,2015,105,110,L,Away
PHI,2015,88,104,L,Away
MIN,2015,97,77,W,Home
WAS,2015,77,97,L,Away
NOP,2015,102,96,W,Home
BRK,2015,96,102,L,Away
MIA,2015,93,90,W,Away
SAS,2015,95,111,L,Away
POR,2015,111,95,W,Home
SAC,2015,102,90,W,Home
MEM,2015,90,102,L,Away
LAL,2015,100,97,W,Away
GSW,2015,99,110,L,Away
CLE,2015,110,99,W,Home
OKC,2015,113,117,L,Away
PHO,2015,117,113,W,Home
ATL,2015,95,88,W,Home
ORL,2015,88,95,L,Away
CHO,2015,98,106,L,Away
BOS,2015,106,98,W,Home
MIN,2015,89,96,L,Away
CHI,2015,96,89,W,Home
DEN,2015,82,104,L,Home
UTA,2015,104,82,W,Away
NYK,2015,121,115,W,Away
DET,2015,115,121,L,Home
HOU,2015,102,98,W,Home
BRK,2015,98,102,L,Away
CLE,2015,86,93,L,Away
IND,2015,93,86,W,Home
MIL,2015,93,101,L,Away
LAL,2015,101,93,W,Home
MEM,2015,79,97,L,Home
LAC,2015,97,79,W,Away
MIA,2015,102,104,L,Away
NOP,2015,104,102,W,Home
WAS,2015,81,89,L,Away
OKC,2015,112,115,L,Away
POR,2015,115,112,W,Home
SAC,2015,96,107,L,Home
SAS,2015,107,96,W,Away
TOR,2015,89,113,L,Home
GSW,2015,113,89,W,Away
DAL,2015,94,104,L,Home
BRK,2015,104,94,W,Away
ATL,2015,93,91,W,Away
MIA,2015,91,93,L,Home
MEM,2015,101,97,W,Away
MIN,2015,97,101,L,Home
NYK,2015,103,98,W,Home
TOR,2015,98,103,L,Away
PHO,2015,74,101,L,Home
SAS,2015,101,74,W,Away
MIL,2015,75,82,L,Away
UTA,2015,82,75,W,Home
DET,2015,95,99,L,Away
WAS,2015,99,95,W,Home
BOS,2015,101,106,L,Home
LAC,2015,96,86,W,Away
CHI,2015,86,96,L,Home
DEN,2015,92,99,L,Home
NOP,2015,99,92,W,Away
CLE,2015,103,105,L,Away
HOU,2015,105,103,W,Home
IND,2015,94,74,W,Home
PHI,2015,74,94,L,Away
OKC,2015,108,101,W,Away
CHO,2015,98,83,W,Away
SAC,2015,99,110,L,Home
POR,2015,110,99,W,Away
GSW,2015,108,110,L,Away
BRK,2015,110,108,W,Home
DAL,2015,102,93,W,Home
MIA,2015,115,98,W,Home
PHO,2015,98,115,L,Away
LAC,2015,110,105,W,Away
MIN,2015,105,110,L,Home
PHI,2015,103,114,L,Home
TOR,2015,114,103,W,Away
ATL,2015,104,96,W,Home
HOU,2015,96,104,L,Away
CHI,2015,97,92,W,Home
WAS,2015,92,97,L,Away
CHO,2015,104,103,W,Home
BOS,2015,79,110,L,Away
CLE,2015,110,79,W,Home
DEN,2015,106,95,W,Home
MIL,2015,95,106,L,Away
MEM,2015,82,93,L,Home
UTA,2015,93,82,W,Away
SAC,2015,124,86,W,Away
NYK,2015,86,124,L,Home
BOS,2015,85,84,W,Home
UTA,2015,84,85,L,Away
CHO,2015,115,91,W,Away
BRK,2015,91,115,L,Home
GSW,2015,102,93,W,Home
MIL,2015,93,102,L,Away
HOU,2015,100,102,L,Home
MEM,2015,102,100,W,Away
IND,2015,105,82,W,Home
NYK,2015,82,105,L,Away
POR,2015,98,93,W,Away
