Player,Year,Tm,G,PTS,TRB,AST
Shavlik Randolph,2015.0,PHO,16.0,17.0,26.0,3.0
Zach Randolph,2015.0,MEM,71.0,1143.0,747.0,153.0
J.J. Redick,2015.0,LAC,78.0,1277.0,167.0,137.0
Glen Rice,2015.0,WAS,5.0,11.0,4.0,2.0
Jason Richardson,2015.0,PHI,19.0,172.0,66.0,38.0
Luke Ridnour,2015.0,ORL,47.0,188.0,68.0,96.0
Austin Rivers,2015.0,NOP,35.0,239.0,68.0,87.0
Andre Roberson,2015.0,OKC,67.0,228.0,255.0,70.0
Brian Roberts,2015.0,CHO,72.0,480.0,109.0,162.0
Glenn Robinson,2015.0,MIN,25.0,29.0,14.0,3.0
Nate Robinson,2015.0,DEN,33.0,192.0,39.0,77.0
Thomas Robinson,2015.0,POR,32.0,115.0,133.0,9.0
Rajon Rondo,2015.0,BOS,22.0,182.0,165.0,237.0
Derrick Rose,2015.0,CHI,51.0,904.0,161.0,251.0
Terrence Ross,2015.0,TOR,82.0,807.0,226.0,86.0
Ricky Rubio,2015.0,MIN,22.0,226.0,125.0,193.0
Damjan Rudez,2015.0,IND,68.0,323.0,47.0,53.0
Brandon Rush,2015.0,GSW,33.0,30.0,41.0,12.0
Robert Sacre,2015.0,LAL,67.0,307.0,233.0,55.0
John Salmons,2015.0,NOP,21.0,42.0,21.0,13.0
JaKarr Sampson,2015.0,PHI,74.0,386.0,163.0,77.0
Larry Sanders,2015.0,MIL,27.0,196.0,166.0,23.0
Dennis Schroder,2015.0,ATL,77.0,768.0,164.0,317.0
Luis Scola,2015.0,IND,81.0,763.0,526.0,105.0
Mike Scott,2015.0,ATL,68.0,529.0,199.0,75.0
Thabo Sefolosha,2015.0,ATL,52.0,278.0,223.0,75.0
Kevin Seraphin,2015.0,WAS,79.0,520.0,288.0,59.0
Ramon Sessions,2015.0,SAC,36.0,196.0,69.0,96.0
Iman Shumpert,2015.0,NYK,24.0,224.0,81.0,78.0
Alexey Shved,2015.0,PHI,17.0,169.0,22.0,46.0
Henry Sims,2015.0,PHI,73.0,586.0,359.0,79.0
Kyle Singler,2015.0,DET,54.0,385.0,139.0,67.0
Donald Sloan,2015.0,IND,53.0,391.0,143.0,190.0
Marcus Smart,2015.0,BOS,67.0,523.0,222.0,208.0
Greg Smith,2015.0,DAL,42.0,80.0,79.0,9.0
Ish Smith,2015.0,OKC,30.0,37.0,27.0,28.0
J.R. Smith,2015.0,NYK,24.0,261.0,58.0,81.0
Jason Smith,2015.0,NYK,82.0,656.0,324.0,140.0
Josh Smith,2015.0,DET,28.0,367.0,202.0,132.0
Russ Smith,2015.0,NOP,6.0,5.0,3.0,2.0
Tony Snell,2015.0,CHI,72.0,435.0,176.0,62.0
Marreese Speights,2015.0,GSW,76.0,791.0,325.0,72.0
Tiago Splitter,2015.0,SAS,52.0,428.0,252.0,78.0
Nik Stauskas,2015.0,SAC,73.0,319.0,88.0,67.0
Lance Stephenson,2015.0,CHO,61.0,501.0,277.0,240.0
Greg Stiemsma,2015.0,TOR,17.0,14.0,15.0,3.0
David Stockton,2015.0,SAC,3.0,8.0,2.0,9.0
Jarnell Stokes,2015.0,MEM,19.0,57.0,34.0,4.0
Amar'e Stoudemire,2015.0,NYK,36.0,432.0,245.0,37.0
Rodney Stuckey,2015.0,IND,71.0,896.0,248.0,219.0
Jared Sullinger,2015.0,BOS,58.0,770.0,441.0,134.0
Jeffery Taylor,2015.0,CHO,29.0,127.0,53.0,22.0
Jeff Teague,2015.0,ATL,73.0,1162.0,184.0,513.0
Mirza Teletovic,2015.0,BRK,40.0,339.0,194.0,46.0
Sebastian Telfair,2015.0,OKC,16.0,134.0,30.0,45.0
Garrett Temple,2015.0,WAS,52.0,204.0,90.0,56.0
Jason Terry,2015.0,HOU,77.0,541.0,121.0,147.0
Isaiah Thomas,2015.0,PHO,46.0,701.0,109.0,171.0
Lance Thomas,2015.0,OKC,22.0,113.0,75.0,20.0
Malcolm Thomas,2015.0,PHI,17.0,45.0,56.0,7.0
Tyrus Thomas,2015.0,MEM,2.0,4.0,0.0,1.0
Hollis Thompson,2015.0,PHI,71.0,626.0,198.0,85.0
Jason Thompson,2015.0,SAC,81.0,491.0,530.0,85.0
Klay Thompson,2015.0,GSW,77.0,1668.0,247.0,222.0
Tristan Thompson,2015.0,CLE,82.0,693.0,657.0,39.0
Marcus Thornton,2015.0,BOS,39.0,348.0,73.0,34.0
Anthony Tolliver,2015.0,PHO,24.0,80.0,44.0,10.0
P.J. Tucker,2015.0,PHO,78.0,713.0,502.0,122.0
Ronny Turiaf,2015.0,MIN,2.0,0.0,1.0,2.0
Hedo Turkoglu,2015.0,LAC,62.0,232.0,99.0,37.0
Evan Turner,2015.0,BOS,82.0,779.0,417.0,449.0
Ekpe Udoh,2015.0,LAC,33.0,29.0,26.0,8.0
Beno Udrih,2015.0,MEM,79.0,605.0,143.0,220.0
Jonas Valanciunas,2015.0,TOR,80.0,963.0,693.0,39.0
Anderson Varejao,2015.0,CLE,26.0,255.0,170.0,35.0
Greivis Vasquez,2015.0,TOR,82.0,775.0,216.0,302.0
Charlie Villanueva,2015.0,DAL,64.0,403.0,149.0,19.0
Noah Vonleh,2015.0,CHO,25.0,83.0,86.0,4.0
Nikola Vucevic,2015.0,ORL,74.0,1428.0,810.0,147.0
Dwyane Wade,2015.0,MIA,62.0,1331.0,219.0,299.0
Dion Waiters,2015.0,CLE,33.0,345.0,57.0,74.0
Henry Walker,2015.0,MIA,24.0,175.0,82.0,29.0
Kemba Walker,2015.0,CHO,62.0,1075.0,220.0,318.0
John Wall,2015.0,WAS,79.0,1387.0,366.0,792.0
Gerald Wallace,2015.0,BOS,32.0,35.0,57.0,11.0
T.J. Warren,2015.0,PHO,40.0,245.0,85.0,25.0
C.J. Watson,2015.0,IND,57.0,570.0,163.0,208.0
David Wear,2015.0,SAC,2.0,0.0,2.0,1.0
Travis Wear,2015.0,NYK,51.0,199.0,106.0,40.0
Martell Webster,2015.0,WAS,32.0,106.0,46.0,17.0
David West,2015.0,IND,66.0,769.0,449.0,223.0
Russell Westbrook,2015.0,OKC,67.0,1886.0,488.0,574.0
Hassan Whiteside,2015.0,MIA,48.0,564.0,482.0,6.0
Shayne Whittington,2015.0,IND,20.0,57.0,29.0,6.0
Andrew Wiggins,2015.0,MIN,82.0,1387.0,374.0,170.0
C.J. Wilcox,2015.0,LAC,21.0,41.0,7.0,8.0
Deron Williams,2015.0,BRK,68.0,884.0,237.0,448.0
Derrick Williams,2015.0,SAC,74.0,617.0,202.0,50.0
Elliot Williams,2015.0,UTA,5.0,18.0,3.0,4.0
Lou Williams,2015.0,TOR,80.0,1242.0,151.0,164.0
Marvin Williams,2015.0,CHO,78.0,577.0,386.0,100.0
Mo Williams,2015.0,MIN,41.0,499.0,98.0,261.0
Reggie Williams,2015.0,SAS,20.0,37.0,17.0,10.0
Shawne Williams,2015.0,MIA,44.0,292.0,139.0,36.0
Jeff Withey,2015.0,NOP,37.0,98.0,64.0,11.0
Nate Wolters,2015.0,MIL,11.0,25.0,16.0,10.0
Brandan Wright,2015.0,DAL,27.0,238.0,110.0,10.0
Dorell Wright,2015.0,POR,48.0,219.0,111.0,41.0
Tony Wroten,2015.0,PHI,30.0,507.0,86.0,157.0
James Young,2015.0,BOS,31.0,105.0,42.0,13.0
Nick Young,2015.0,LAL,42.0,563.0,96.0,41.0
Thaddeus Young,2015.0,MIN,48.0,685.0,245.0,135.0
Cody Zeller,2015.0,CHO,62.0,472.0,362.0,100.0
Tyler Zeller,2015.0,BOS,82.0,833.0,465.0,113.0
